worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,doc_index,doc_id,doc_statement,doc_explanation,doc_label,doc_truthfulness-1_value,doc_truthfulness-1_label,doc_truthfulness-1_index,doc_truthfulness-1_description,doc_explanation-quality_value,doc_truthfulness-2_value,doc_truthfulness-2_label,doc_truthfulness-2_index,doc_truthfulness-2_description,doc_truthfulness-2_justification,doc_truthfulness-2_url,doc_accesses,doc_time_elapsed,doc_time_start,doc_time_end,global_outcome,global_form_validity,gold_checks,time_spent_check,time_check_amount
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,Next,"Sun, 08 Jan 2023 15:29:03 GMT",2023-01-08 15:29:03 00:00,0.0,41947,Matthew Gray Gubler is not an actor.,"The claim is that Matthew Gray Gubler is not an actor. The evidence says that he is an American actor. So, the claim is false.",REFUTES,1,false,1.0,Falsa,51.0,0,lie,0.0,Spudoratamente falsa e/o contradditoria,the evidence tells me that Matthew Gray Gubler is an actor,https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,137.51,1673191606.0,1673191743.51,True,True,True,True,True
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,Next,"Sun, 08 Jan 2023 15:29:44 GMT",2023-01-08 15:29:44 00:00,1.0,41947,Matthew Gray Gubler is not an actor.,Matthew Gray Gubler is an actor.,REFUTES,0,lie,0.0,Spudoratamente falsa e/o contradditoria,51.0,0,lie,0.0,Spudoratamente falsa e/o contradditoria,the evidence tells me that Matthew Gray Gubler is an actor,https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,40.7,1673191743.51,1673191784.2,True,True,True,True,True
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,Finish,"Sun, 08 Jan 2023 15:34:32 GMT",2023-01-08 15:34:32 00:00,2.0,25842,Saw II sold over 3 million units.,"The claim is that Saw II sold over 3 million units. The evidence says that Saw II was released to DVD and topped charts its first week, selling more than 3 million units. So we can infer that the claim is true.",SUPPORTS,4,mostly-true,4.0,Vera ma priva di dettagli ,72.0,5,true,5.0,Sicuramente vera,the evidence tells me that Saw 2 solds over 3 milion units in the first week,https://en.wikipedia.org/wiki/Saw_II,1.0,288.1,1673191784.2,1673192072.3,True,True,True,True,True
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,Next,"Mon, 09 Jan 2023 14:27:49 GMT",2023-01-09 14:27:49 00:00,0.0,25842,Saw II sold over 3 million units.,"The claim is that Saw II sold over 3 million units. The evidence says that Saw II was released to DVD and topped charts its first week, selling more than 3 million units. So we can infer that the claim is true.",SUPPORTS,4,mostly-true,4.0,Vera ma priva di dettagli ,89.0,5,true,5.0,Sicuramente vera,"dal sito web: Saw II was released to home media on February 14, 2006, and topped charts its first week, selling more than 3 million units.",https://en.wikipedia.org/wiki/Saw_II,1.0,482.01,1673273987.0,1673274469.01,True,True,True,True,True
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,Next,"Mon, 09 Jan 2023 14:29:27 GMT",2023-01-09 14:29:27 00:00,1.0,41947,Matthew Gray Gubler is not an actor.,Matthew Gray Gubler is an actor.,REFUTES,1,false,1.0,Falsa,75.0,0,lie,0.0,Spudoratamente falsa e/o contradditoria,"dal sito web: ""Matthew Gray Gubler (/ËÉ¡uËblÉr/, GOOB-lÉr;[1] born March 9, 1980) is an American actor...""",https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,98.01,1673274469.01,1673274567.01,True,True,True,True,True
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,Finish,"Mon, 09 Jan 2023 14:30:16 GMT",2023-01-09 14:30:16 00:00,2.0,41947,Matthew Gray Gubler is not an actor.,"The claim is that Matthew Gray Gubler is not an actor. The evidence says that he is an American actor. So, the claim is false.",REFUTES,1,false,1.0,Falsa,90.0,0,lie,0.0,Spudoratamente falsa e/o contradditoria,"dal sito web: ""Matthew Gray Gubler (/ËÉ¡uËblÉr/, GOOB-lÉr;[1] born March 9, 1980) is an American actor...""",https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,49.07,1673274567.01,1673274616.08,True,True,True,True,True
AYKZJHEV29ZHL,True,sctask,scbatch,unit_9,1,1,Next,"Mon, 09 Jan 2023 17:11:25 GMT",2023-01-09 17:11:25 00:00,0.0,1520,Azithromycin is sold under different trade names.,"""The relevant information about the claim is lacking in the context.""",SUPPORTS,4,mostly-true,4.0,Vera ma priva di dettagli ,80.0,5,true,5.0,Sicuramente vera,"Brand names: Zithromax, Azithromycin Dose Pack, Z-Pak",https://www.drugs.com/ingredient/azithromycin.html,1.0,101.24,1673284184.0,1673284285.24,True,True,True,True,True
AYKZJHEV29ZHL,True,sctask,scbatch,unit_9,1,1,Next,"Mon, 09 Jan 2023 17:12:37 GMT",2023-01-09 17:12:37 00:00,1.0,41947,Matthew Gray Gubler is not an actor.,"The claim is that Matthew Gray Gubler is not an actor. The evidence says that he is an American actor. So, the claim is false.",REFUTES,2,barely-true,2.0,A malapena vera,40.0,4,mostly-true,4.0,Vera ma priva di dettagli,"Matthew Gray Gubler is an American actor, filmmaker, fashion model, painter, illustrator, director, and author.",https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,72.63,1673284285.24,1673284357.87,True,True,True,True,True
AYKZJHEV29ZHL,True,sctask,scbatch,unit_9,1,1,Finish,"Mon, 09 Jan 2023 17:15:35 GMT",2023-01-09 17:15:35 00:00,2.0,1520,Azithromycin is sold under different trade names.,"The first sentence is the claim and the second sentence is the evidence. The evidence is saying ""It is available as a generic medication and is sold under many trade names worldwide."" The word ""and"" is joining two ideas together, so we can split the evidence into two parts. Part A is ""It is available as a generic medication."" Part B is ""It is sold under many trade names worldwide."" We can see that Part A is true because the medication is available as a generic. Part B is also true because it is sold under many trade names worldwide. Therefore, the entire claim is true.",SUPPORTS,3,half-true,3.0,Per metÃ  vera,55.0,5,true,5.0,Sicuramente vera,Azithromycin - Brand names and Manufacturer Azithromycin Brand names/Manufacturer: 3Z (Jaba - PORTUGAL) ABACTEN (Andromaco - CHILE) ARZOMICINA (APS - PORTUGAL) ASIPRAL (Labomed - CHILE) ATIZOR (Medipharm - CHILE) ATROMICIN (Teuto - BRAZIL) AZADOSE (Pfizer - FRANCE) AZENIL (Pfizer - ISRAEL) AZI (Sigma - BRAZIL AZIMAX (EMS - BRAZIL),http://www.antimicrobe.org/drugpopup/Azithromycin%20-%20Brand%20names.htm,1.0,177.47,1673284357.87,1673284535.34,True,True,True,True,True
A1B57KPKLXSZZG,True,sctask,scbatch,unit_8,1,1,Next,"Mon, 09 Jan 2023 16:54:14 GMT",2023-01-09 16:54:14 00:00,0.0,41947,Matthew Gray Gubler is not an actor.,"The claim is that Matthew Gray Gubler is not an actor. The evidence says that he is an American actor. So, the claim is false.",REFUTES,0,lie,0.0,Spudoratamente falsa e/o contradditoria,100.0,0,lie,0.0,Spudoratamente falsa e/o contradditoria,Da Wikipedia si evince che Ã¨ un attore,https://en.m.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,99.18,1673283155.0,1673283254.18,True,True,True,True,True
A1B57KPKLXSZZG,True,sctask,scbatch,unit_8,1,1,Next,"Mon, 09 Jan 2023 16:56:23 GMT",2023-01-09 16:56:23 00:00,1.0,1520,Azithromycin is sold under different trade names.,"""The relevant information about the claim is lacking in the context.""",SUPPORTS,0,lie,0.0,Spudoratamente falsa e/o contradditoria,1.0,0,lie,0.0,Spudoratamente falsa e/o contradditoria,Suppongo che lo statement sia falso,https://www.drugs.com/azithromycin.html,1.0,128.97,1673283254.18,1673283383.15,True,True,True,True,True
A1B57KPKLXSZZG,True,sctask,scbatch,unit_8,1,1,Finish,"Mon, 09 Jan 2023 16:59:31 GMT",2023-01-09 16:59:31 00:00,2.0,1520,Azithromycin is sold under different trade names.,"The first sentence is the claim and the second sentence is the evidence. The evidence is saying ""It is available as a generic medication and is sold under many trade names worldwide."" The word ""and"" is joining two ideas together, so we can split the evidence into two parts. Part A is ""It is available as a generic medication."" Part B is ""It is sold under many trade names worldwide."" We can see that Part A is true because the medication is available as a generic. Part B is also true because it is sold under many trade names worldwide. Therefore, the entire claim is true.",SUPPORTS,5,true,5.0,Sicuramente vera,100.0,5,true,5.0,Sicuramente vera,Lo statement riportato Ã¨ palesemente vero,https://www.drugs.com/azithromycin.html,1.0,187.78,1673283383.15,1673283570.93,True,True,True,True,True
A1FPA1WHFQLP87,True,sctask,scbatch,unit_2,1,1,Next,"Sun, 08 Jan 2023 17:35:20 GMT",2023-01-08 17:35:20 00:00,0.0,1520,Azithromycin is sold under different trade names.,"""The relevant information about the claim is lacking in the context.""",SUPPORTS,0,lie,0.0,Spudoratamente falsa e/o contradditoria,1.0,5,true,5.0,Sicuramente vera,"Azithromycin, sold under the brand names Zithromax (in oral form) and Azasite (as an eye drop)",https://en.wikipedia.org/wiki/Azithromycin,1.0,102.11,1673199218.0,1673199320.11,True,True,True,True,True
A1FPA1WHFQLP87,True,sctask,scbatch,unit_2,1,1,Next,"Sun, 08 Jan 2023 17:37:12 GMT",2023-01-08 17:37:12 00:00,1.0,25842,Saw II sold over 3 million units.,"The claim is that Saw II sold over 3 million units. The evidence says that Saw II was released to DVD and topped charts its first week, selling more than 3 million units. So we can infer that the claim is true.",SUPPORTS,5,true,5.0,Sicuramente vera,100.0,5,true,5.0,Sicuramente vera,"Saw II was released to home media on February 14, 2006, and topped charts its first week, selling more than 3 million units",https://en.wikipedia.org/wiki/Saw_II,1.0,112.86,1673199320.11,1673199432.97,True,True,True,True,True
A1FPA1WHFQLP87,True,sctask,scbatch,unit_2,1,1,Finish,"Sun, 08 Jan 2023 17:38:03 GMT",2023-01-08 17:38:03 00:00,2.0,41947,Matthew Gray Gubler is not an actor.,"The claim is that Matthew Gray Gubler is not an actor. The evidence says that he is an American actor. So, the claim is false.",REFUTES,0,lie,0.0,Spudoratamente falsa e/o contradditoria,100.0,5,true,5.0,Sicuramente vera,"Matthew Gray Gubler (/ËÉ¡uËblÉr/, GOOB-lÉr;[1] born March 9, 1980) is an American actor",https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,50.11,1673199432.97,1673199483.08,True,True,True,True,True
A3B80S5P6EWOET,True,sctask,scbatch,unit_7,1,1,Next,"Mon, 09 Jan 2023 16:47:33 GMT",2023-01-09 16:47:33 00:00,0.0,25842,Saw II sold over 3 million units.,"The claim is that Saw II sold over 3 million units. The evidence says that Saw II was released to DVD and topped charts its first week, selling more than 3 million units. So we can infer that the claim is true.",SUPPORTS,5,true,5.0,Sicuramente vera,100.0,5,true,5.0,Sicuramente vera,"Da Wikipedia "" selling more than 3 million units""",https://en.wikipedia.org/wiki/Saw_II,1.0,141.12,1673282712.0,1673282853.12,True,True,True,True,True
A3B80S5P6EWOET,True,sctask,scbatch,unit_7,1,1,Next,"Mon, 09 Jan 2023 16:49:37 GMT",2023-01-09 16:49:37 00:00,1.0,41947,Matthew Gray Gubler is not an actor.,Matthew Gray Gubler is an actor.,REFUTES,0,lie,0.0,Spudoratamente falsa e/o contradditoria,30.0,0,lie,0.0,Spudoratamente falsa e/o contradditoria,"Da Wikipedia, Matthew Gray Gubler Ã¨ un attore",https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,124.25,1673282853.12,1673282977.37,True,True,True,True,True
A3B80S5P6EWOET,True,sctask,scbatch,unit_7,1,1,Finish,"Mon, 09 Jan 2023 16:50:43 GMT",2023-01-09 16:50:43 00:00,2.0,41947,Matthew Gray Gubler is not an actor.,"The claim is that Matthew Gray Gubler is not an actor. The evidence says that he is an American actor. So, the claim is false.",REFUTES,5,true,5.0,Sicuramente vera,100.0,5,true,5.0,Sicuramente vera,Da Wikipedia Ã¨ un attore americano conosciuto.,https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,65.91,1673282977.37,1673283043.28,True,True,True,True,True
ALFKPWKAP8BPM,True,sctask,scbatch,unit_4,1,1,Next,"Mon, 09 Jan 2023 10:13:12 GMT",2023-01-09 10:13:12 00:00,0.0,25842,Saw II sold over 3 million units.,"Saw II sold over 3 million units, however it does not say whether it sold them on DVD.",SUPPORTS,4,mostly-true,4.0,Vera ma priva di dettagli ,74.0,4,mostly-true,4.0,Vera ma priva di dettagli,"Dato il ricavo totale del film, Ã¨ probabile che abbia venduto quella quantitÃ  di copie fisiche.",https://en.wikipedia.org/wiki/Saw_II,1.0,290.59,1673258902.0,1673259192.59,True,True,True,True,True
ALFKPWKAP8BPM,True,sctask,scbatch,unit_4,1,1,Next,"Mon, 09 Jan 2023 10:15:28 GMT",2023-01-09 10:15:28 00:00,1.0,41947,Matthew Gray Gubler is not an actor.,"The claim is that Matthew Gray Gubler is not an actor. The evidence says that he is an American actor. So, the claim is false.",REFUTES,4,mostly-true,4.0,Vera ma priva di dettagli ,88.0,5,true,5.0,Sicuramente vera,Matthew Gray Gubler Ã¨ un attore,https://en.wikipedia.org/wiki/Matthew_Gray_Gubler,1.0,136.32,1673259192.59,1673259328.91,True,True,True,True,True
ALFKPWKAP8BPM,True,sctask,scbatch,unit_4,1,1,Finish,"Mon, 09 Jan 2023 10:22:33 GMT",2023-01-09 10:22:33 00:00,2.0,1520,Azithromycin is sold under different trade names.,"The first sentence is the claim and the second sentence is the evidence. The evidence is saying ""It is available as a generic medication and is sold under many trade names worldwide."" The word ""and"" is joining two ideas together, so we can split the evidence into two parts. Part A is ""It is available as a generic medication."" Part B is ""It is sold under many trade names worldwide."" We can see that Part A is true because the medication is available as a generic. Part B is also true because it is sold under many trade names worldwide. Therefore, the entire claim is true.",SUPPORTS,5,true,5.0,Sicuramente vera,91.0,5,true,5.0,Sicuramente vera,"Il brevetto Ã¨ scaduto per la sostanza in questione, questo la rende commerciabile da qualsiasi casa farmaceutica.",https://en.wikipedia.org/wiki/Azithromycin,1.0,424.05,1673259328.91,1673259752.96,True,True,True,True,True
